DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS36 --> MMS2_2          2021-054/19:55:47        2021-054/20:11:42        15.91667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_2          2021-054/20:18:57        2021-054/21:18:09        59.20000                 2.50 Mbps                ReturnDataRate           Mask                     
DS24 --> MMS2_2          2021-054/20:18:57        2021-054/21:18:10        59.21667                 2.50 Mbps                ReturnDataRate           Mask                     
DS34 --> MMS2_2          2021-054/20:29:12        2021-054/20:59:18        30.10000                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-054/20:33:54        2021-054/20:48:03        14.15000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-054/20:29:12        2021-054/20:59:18        30.10000                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-054/20:33:53        2021-054/20:48:02        14.15000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-054/21:39:14        2021-054/22:18:04        38.83333                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-054/21:44:44        2021-054/22:01:13        16.48333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-054/21:39:14        2021-054/22:18:04        38.83333                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-054/21:44:44        2021-054/22:01:13        16.48333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-054/22:37:29        2021-055/03:59:14        321.75000                1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-054/22:37:29        2021-055/03:59:16        321.78333                1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-054/22:48:57        2021-055/02:52:10        243.21667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
