  Time                  V(C1:B)               V(V3:+)              
  2.899093482018e-003  8.309577032544e+000  -2.277096480995e-001  
  2.911593482018e-003  1.119108525716e+001  2.662825284612e+000  
  2.924093482018e-003  1.251324497403e+001  3.993513279828e+000  
  2.936593482018e-003  1.149818433450e+001  2.984855357238e+000  
  2.949093482018e-003  8.737531056252e+000  2.277096480996e-001  
  2.961593482018e-003  5.845716233595e+000  -2.662825284612e+000  
  2.974093482018e-003  4.559071042579e+000  -3.993513279828e+000  
  2.980200812340e-003  4.766492078280e+000  -3.788327690153e+000  
  2.983994910240e-003  5.176118672508e+000  -3.377996956878e+000  
  2.987506720543e-003  5.725079927873e+000  -2.827232529202e+000  
  2.991211935997e-003  6.452033627203e+000  -2.098145079282e+000  
  2.998622366905e-003  8.199550189509e+000  -3.458047592176e-001  
  3.000000000000e-003  8.544396218688e+000  2.745286636907e-014  
