  Time                  V(D2:K)               V(R1:1)              
  1.804495996475e-003  -1.263105165855e-001  1.672497218478e+000  
  1.816995996475e-003  3.519233757529e+000  5.257112806336e+000  
  1.818558496475e-003  3.720695511497e+000  5.515248705006e+000  
  1.821683496475e-003  3.965294891648e+000  5.870201457756e+000  
  1.824473566055e-003  4.065663665177e+000  5.996718071123e+000  
  1.827887338638e-003  4.056060702405e+000  5.901534297815e+000  
  1.834714883804e-003  3.636197120142e+000  4.916498552970e+000  
  1.847214883804e-003  1.679003370163e+000  1.044613443894e+000  
  1.859714883804e-003  -1.687450400481e+000  -3.439192053178e+000  
  1.872214883804e-003  -4.204440071152e+000  -5.908365489104e+000  
  1.878506082535e-003  -4.253827778217e+000  -5.854999928131e+000  
  1.884679025650e-003  -4.196435314636e+000  -4.924234685544e+000  
  1.893172067642e-003  -3.380918368547e+000  -2.495833296126e+000  
  1.905672067642e-003  3.110267930295e-001  2.093340581896e+000  
  1.918172067642e-003  3.543694639215e+000  5.456263937709e+000  
  1.919589418411e-003  3.783221030721e+000  5.656614292866e+000  
  1.922424119949e-003  4.002466814979e+000  5.921587727018e+000  
  1.925085252762e-003  4.078910325297e+000  5.999913921068e+000  
  1.928192323685e-003  4.048200365343e+000  5.879707571703e+000  
  1.934406465530e-003  3.666441492734e+000  4.982217628889e+000  
  1.946129793167e-003  1.911567326242e+000  1.444696612253e+000  
  1.958629793167e-003  -1.380928692910e+000  -3.096263321990e+000  
  1.971129793167e-003  -4.178186395739e+000  -5.823474194890e+000  
  1.976957887650e-003  -4.253491149027e+000  -5.954657155471e+000  
  1.983042329788e-003  -4.220183841574e+000  -5.250133689853e+000  
  1.991964143753e-003  -3.601337073440e+000  -2.902360162832e+000  
  2.004464143753e-003  -1.382136613659e-001  1.660961641990e+000  
  2.016964143753e-003  3.515143318051e+000  5.251314643516e+000  
  2.018526643753e-003  3.718028972122e+000  5.510509171544e+000  
  2.021651643753e-003  3.963570929523e+000  5.867705481145e+000  
  2.024438280106e-003  4.064947685358e+000  5.996263409373e+000  
  2.027840990067e-003  4.057091795872e+000  5.904661805758e+000  
  2.034646409988e-003  3.642964475676e+000  4.931249567279e+000  
  2.047146409988e-003  1.694538376422e+000  1.070023475461e+000  
  2.059646409988e-003  -1.667553080231e+000  -3.418007856224e+000  
  2.072146409988e-003  -4.203029557481e+000  -5.903816542031e+000  
  2.078458971024e-003  -4.253892396047e+000  -5.858855254553e+000  
  2.084606737137e-003  -4.197682370699e+000  -4.939754370316e+000  
  2.093145555496e-003  -3.385095616964e+000  -2.504918913152e+000  
  2.105645555496e-003  2.747938196980e-001  2.083970877762e+000  
  2.118145555496e-003  3.684390974532e+000  5.452098792074e+000  
  2.119589418411e-003  3.816500295030e+000  5.656614292866e+000  
  2.122477144241e-003  4.001213404771e+000  5.924776028574e+000  
  2.125254243851e-003  4.074990698969e+000  5.999234451568e+000  
  2.128795808792e-003  4.031371050214e+000  5.830163875142e+000  
  2.135878938675e-003  3.513408571979e+000  4.652036855226e+000  
  2.146798128128e-003  1.774420091822e+000  1.198951338029e+000  
  2.159298128128e-003  -1.569273116564e+000  -3.309286609161e+000  
  2.171798128128e-003  -4.195273171367e+000  -5.878989342484e+000  
  2.178241151810e-003  -4.254161751118e+000  -5.876012391109e+000  
  2.184265321732e-003  -4.203273969637e+000  -5.011670603038e+000  
  2.193071168900e-003  -3.393571394804e+000  -2.530373740105e+000  
  2.205571168900e-003  2.544697930990e-001  2.057650988821e+000  
  2.218071168900e-003  3.527282448910e+000  5.440331675127e+000  
  2.219501298904e-003  3.776799840235e+000  5.645450466561e+000  
  2.222361558914e-003  3.999804735380e+000  5.917741469852e+000  
  2.225042146683e-003  4.078357238328e+000  5.999978961851e+000  
  2.228164476395e-003  4.048908682619e+000  5.881790200289e+000  
  2.234409135818e-003  3.666196966323e+000  4.981656626438e+000  
  2.246178239822e-003  1.901665994965e+000  1.426963331012e+000  
  2.258678239822e-003  -1.394262043506e+000  -3.111893168689e+000  
  2.271178239822e-003  -4.179574415864e+000  -5.827844854828e+000  
  2.277015489578e-003  -4.253572587329e+000  -5.951953513754e+000  
  2.283106798172e-003  -4.219414466411e+000  -5.238325501707e+000  
  2.291991991043e-003  -3.596944217268e+000  -2.893167516205e+000  
  2.304491991043e-003  -1.278072143750e-001  1.671047004287e+000  
  2.316991991043e-003  3.518719319771e+000  5.256384853031e+000  
  2.318554491043e-003  3.720331992552e+000  5.514653929680e+000  
  2.321679491043e-003  3.965084335581e+000  5.869888884682e+000  
  2.324469179153e-003  4.065580868161e+000  5.996663150088e+000  
  2.327881425858e-003  4.056192370019e+000  5.901936066041e+000  
  2.334705919266e-003  3.637086548161e+000  4.918434927363e+000  
  2.347205919266e-003  1.681044132305e+000  1.047941215511e+000  
  2.359705919266e-003  -1.684839743797e+000  -3.436422247818e+000  
  2.372205919266e-003  -4.204257085456e+000  -5.907776164415e+000  
  2.378500169754e-003  -4.253836325265e+000  -5.855486611057e+000  
  2.384670061111e-003  -4.196591138257e+000  -4.926164814561e+000  
  2.393169206619e-003  -3.381342394296e+000  -2.496814092208e+000  
  2.405669206619e-003  3.099606745985e-001  2.092329741886e+000  
  2.418169206619e-003  3.543313034618e+000  5.455815190139e+000  
  2.419587701797e-003  3.783110352190e+000  5.656398470726e+000  
  2.422424692154e-003  4.002507391726e+000  5.921622484032e+000  
  2.425086969376e-003  4.078930303414e+000  5.999910419679e+000  
  2.428194803238e-003  4.048135324223e+000  5.879521259335e+000  
  2.434410470963e-003  3.666056930324e+000  4.981376072625e+000  
  2.446144479752e-003  1.908574372766e+000  1.439322181428e+000  
  2.458644479752e-003  -1.384975220894e+000  -3.101004540854e+000  
  2.471144479752e-003  -4.178610439647e+000  -5.824804860083e+000  
  2.476973337173e-003  -4.253512433596e+000  -5.953939659700e+000  
  2.483060831070e-003  -4.219965634404e+000  -5.246753754492e+000  
  2.491970438004e-003  -3.600415097801e+000  -2.900283149037e+000  
  2.504470438004e-003  -1.358581143889e-001  1.663241656060e+000  
  2.516970438004e-003  3.515946688240e+000  5.252462056542e+000  
  2.518532938004e-003  3.718500511277e+000  5.511447476510e+000  
  2.521657938004e-003  3.963923279149e+000  5.868200561673e+000  
  2.524445337296e-003  4.065102599457e+000  5.996356699742e+000  
  2.527850336075e-003  4.056883415603e+000  5.904035185878e+000  
  2.534660333633e-003  3.641593700836e+000  4.928257441805e+000  
  2.547160333633e-003  1.691388876242e+000  1.064858122082e+000  
  2.559660333633e-003  -1.671590796957e+000  -3.422320643554e+000  
  2.572160333633e-003  -4.203318790051e+000  -5.904750390985e+000  
  2.578468317032e-003  -4.253879690425e+000  -5.858094513557e+000  
  2.584621423721e-003  -4.197431041342e+000  -4.936609532982e+000  
  2.593151086807e-003  -3.384214344475e+000  -2.503023925746e+000  
  2.605651086807e-003  2.764696262448e-001  2.085926186374e+000  
  2.618151086807e-003  3.685066590255e+000  5.452969028625e+000  
  2.619593423843e-003  3.816848698513e+000  5.657117621945e+000  
  2.622478097916e-003  4.001240522950e+000  5.924832770202e+000  
  2.625255578995e-003  4.074995009132e+000  5.999226390180e+000  
  2.628796380997e-003  4.031354800450e+000  5.830112909942e+000  
  2.635877985001e-003  3.513512635541e+000  4.652263904083e+000  
  2.646795648575e-003  1.774958709185e+000  1.199867240171e+000  
  2.659295648575e-003  -1.568570446354e+000  -3.308506837243e+000  
  2.671795648575e-003  -4.195215899364e+000  -5.878802480605e+000  
  2.678239435196e-003  -4.254163311998e+000  -5.876143238026e+000  
  2.684262842178e-003  -4.203312695659e+000  -5.012184503925e+000  
  2.693070215225e-003  -3.393725381326e+000  -2.530699726354e+000  
  2.705570215225e-003  2.541797800990e-001  2.057313261289e+000  
  2.718070215225e-003  3.527167384455e+000  5.440180042520e+000  
  2.719500726700e-003  3.776752730069e+000  5.645377408271e+000  
  2.722361749649e-003  3.999819724697e+000  5.917753335237e+000  
  2.725042718887e-003  4.078365914553e+000  5.999978386724e+000  
  2.728165430069e-003  4.048883556583e+000  5.881719175131e+000  
  2.734410852432e-003  3.666032370826e+000  4.981295907953e+000  
  2.746184534073e-003  1.900378384079e+000  1.424658426767e+000  
  2.758684534073e-003  -1.395998617690e+000  -3.113921704682e+000  
  2.771184534073e-003  -4.179753261655e+000  -5.828408733697e+000  
  2.777023309708e-003  -4.253583676771e+000  -5.951580451532e+000  
  2.783115381241e-003  -4.219310690794e+000  -5.236746918158e+000  
  2.791995996475e-003  -3.596301095830e+000  -2.891844556934e+000  
  2.804495996475e-003  -1.263105165864e-001  1.672497218477e+000  
  2.816995996475e-003  3.519233757530e+000  5.257112806335e+000  
  2.818558496475e-003  3.720695511497e+000  5.515248705006e+000  
  2.821683496475e-003  3.965294891648e+000  5.870201457756e+000  
  2.824473566055e-003  4.065663665177e+000  5.996718071123e+000  
  2.827887338638e-003  4.056060702405e+000  5.901534297815e+000  
  2.834714883804e-003  3.636197120142e+000  4.916498552971e+000  
  2.847214883804e-003  1.679003370163e+000  1.044613443895e+000  
  2.859714883804e-003  -1.687450400480e+000  -3.439192053177e+000  
  2.872214883804e-003  -4.204440071152e+000  -5.908365489104e+000  
  2.878506082535e-003  -4.253827778217e+000  -5.854999928131e+000  
  2.884679025650e-003  -4.196435314636e+000  -4.924234685544e+000  
  2.893172067642e-003  -3.380918368548e+000  -2.495833296127e+000  
  2.905672067642e-003  3.110267930284e-001  2.093340581895e+000  
  2.918172067642e-003  3.543694639214e+000  5.456263937709e+000  
  2.919589418411e-003  3.783221030721e+000  5.656614292866e+000  
  2.922424119949e-003  4.002466814979e+000  5.921587727017e+000  
  2.925085252762e-003  4.078910325297e+000  5.999913921068e+000  
  2.928192323685e-003  4.048200365343e+000  5.879707571703e+000  
  2.934406465530e-003  3.666441492734e+000  4.982217628890e+000  
  2.946129793167e-003  1.911567326242e+000  1.444696612254e+000  
  2.958629793167e-003  -1.380928692909e+000  -3.096263321989e+000  
  2.971129793167e-003  -4.178186395739e+000  -5.823474194889e+000  
  2.976957887650e-003  -4.253491149027e+000  -5.954657155472e+000  
  2.983042329788e-003  -4.220183841574e+000  -5.250133689854e+000  
  2.991964143753e-003  -3.601337073441e+000  -2.902360162834e+000  
  3.000000000000e-003  -1.573510141789e+000  4.117929955361e-014  
