  Time                  V(Q1:c)               V(C1:B)              
  3.475055637360e-004  3.366034135999e+000  1.560891795561e-004  
  3.490680637360e-004  3.368118385521e+000  5.852182652834e-005  
  3.521930637360e-004  3.372181778622e+000  -1.373586163751e-004  
  3.584430637360e-004  3.379163367651e+000  -5.059589370237e-004  
  3.623241367340e-004  3.380123447458e+000  -6.992503732797e-004  
  3.663845005035e-004  3.380336391672e+000  -8.570252564740e-004  
  3.715221347809e-004  3.380456383261e+000  -9.762192049360e-004  
  3.775196018219e-004  3.380415879554e+000  -9.874949239121e-004  
  3.881763401031e-004  3.379635998664e+000  -6.764284449190e-004  
  3.991275730133e-004  3.366981489874e+000  -5.478875626446e-005  
  4.089969577789e-004  3.352412012887e+000  5.356653932698e-004  
  4.186771335602e-004  3.345229510845e+000  9.221178035107e-004  
  4.311771335602e-004  3.346752044256e+000  9.256218959802e-004  
  4.433643283844e-004  3.360244020601e+000  4.049567645873e-004  
  4.558643283844e-004  3.376393725475e+000  -3.601853947479e-004  
  4.574268283844e-004  3.377992373099e+000  -4.498893063603e-004  
  4.578174533844e-004  3.378376218190e+000  -4.716711946288e-004  
  4.585987033844e-004  3.379108259513e+000  -5.143696704402e-004  
  4.587940158844e-004  3.379282800407e+000  -5.248546248170e-004  
  4.591846408844e-004  3.379607141577e+000  -5.455858429506e-004  
  4.599658908844e-004  3.379905054060e+000  -5.860500679347e-004  
  4.610618534088e-004  3.380030391709e+000  -6.404136636009e-004  
  4.627866687775e-004  3.380151887130e+000  -7.197277506271e-004  
  4.646326007843e-004  3.380252843645e+000  -7.952339968402e-004  
  4.683244647980e-004  3.380392949711e+000  -9.133186713854e-004  
  4.757081928253e-004  3.380444580938e+000  -9.990101688273e-004  
  4.882081928253e-004  3.379557747269e+000  -6.749530687402e-004  
  5.007081928253e-004  3.364725081541e+000  4.448238504960e-005  
  5.111604633331e-004  3.350267051317e+000  6.451599362612e-004  
  5.219392719269e-004  3.343598236564e+000  9.815651189003e-004  
  5.344392719269e-004  3.349599350236e+000  8.292192658268e-004  
  5.469392719269e-004  3.365216683282e+000  1.911280130130e-004  
  5.594392719269e-004  3.379775608950e+000  -5.589234376743e-004  
  5.667161884308e-004  3.380368139288e+000  -8.675769810786e-004  
  5.722604694366e-004  3.380481256850e+000  -9.852222103959e-004  
  5.819925251007e-004  3.380271982809e+000  -9.050269249217e-004  
  5.904245319366e-004  3.377635755134e+000  -5.659988932777e-004  
  5.993143024445e-004  3.366493452795e+000  -4.307032064866e-005  
  6.086740436554e-004  3.353307910115e+000  5.184234234908e-004  
  6.186059894562e-004  3.344753852442e+000  9.203790673153e-004  
  6.311059894562e-004  3.346864646107e+000  9.273043561083e-004  
  6.436059894562e-004  3.360901134953e+000  3.910273295407e-004  
  6.561059894562e-004  3.377050605254e+000  -3.743082034133e-004  
  6.576684894562e-004  3.378620279399e+000  -4.633975283059e-004  
  6.607934894562e-004  3.380039282798e+000  -6.273728635712e-004  
  6.645044269562e-004  3.380293599621e+000  -7.903254642693e-004  
  6.666757526398e-004  3.380379748133e+000  -8.663107069077e-004  
  6.700498523712e-004  3.380468448167e+000  -9.520197882566e-004  
  6.767980518341e-004  3.380461896174e+000  -9.936251174733e-004  
  6.892980518341e-004  3.378852493456e+000  -6.228835458348e-004  
  7.017599048615e-004  3.363398500493e+000  1.103528722561e-004  
  7.126302661896e-004  3.349053938530e+000  7.128706057492e-004  
  7.238332691193e-004  3.343842653834e+000  9.973141817230e-004  
  7.363332691193e-004  3.351804501809e+000  7.569976919945e-004  
  7.488332691193e-004  3.368000833543e+000  7.324222098083e-005  
  7.503957691193e-004  3.370018784124e+000  -2.486434443494e-005  
  7.535207691193e-004  3.373979146409e+000  -2.194165898276e-004  
  7.543020191193e-004  3.374903909296e+000  -2.670242499813e-004  
  7.558645191193e-004  3.376666159011e+000  -3.601965745747e-004  
  7.589895191193e-004  3.379681843434e+000  -5.352706608987e-004  
  7.614374103546e-004  3.380106752102e+000  -6.583568548186e-004  
  7.640016498566e-004  3.380259841260e+000  -7.705793162664e-004  
  7.679040851593e-004  3.380420682775e+000  -9.022446749796e-004  
  7.724626483917e-004  3.380497613894e+000  -9.873184894649e-004  
  7.815797748566e-004  3.380310713752e+000  -9.157524402223e-004  
  7.896532001495e-004  3.378464275174e+000  -6.052728632100e-004  
  7.997926654816e-004  3.365973585506e+000  -1.302684353110e-005  
  8.090562763214e-004  3.352933214909e+000  5.388089366418e-004  
  8.189577045441e-004  3.344589504991e+000  9.287949121657e-004  
  8.314577045441e-004  3.347155445730e+000  9.188068049700e-004  
  8.439577045441e-004  3.361369938762e+000  3.705941326236e-004  
  8.564577045441e-004  3.377446767464e+000  -3.947075564779e-004  
  8.580202045441e-004  3.378964895103e+000  -4.828657472474e-004  
  8.611452045441e-004  3.380099935605e+000  -6.444271184519e-004  
  8.646127643585e-004  3.380304093967e+000  -7.944777083854e-004  
  8.682687702179e-004  3.380443891235e+000  -9.118879693744e-004  
  8.725191059113e-004  3.380510365030e+000  -9.878754221574e-004  
  8.810197772980e-004  3.380348454684e+000  -9.293183202721e-004  
  8.904207172394e-004  3.377778916034e+000  -5.661964743562e-004  
  8.992631855011e-004  3.366742321150e+000  -4.627888487526e-005  
  9.085359516144e-004  3.353572947765e+000  5.109844511698e-004  
  9.184160175323e-004  3.344918858684e+000  9.156461986105e-004  
  9.309160175323e-004  3.346807062052e+000  9.317060424886e-004  
  9.434160175323e-004  3.360703361213e+000  4.019851228219e-004  
  9.559160175323e-004  3.376901485205e+000  -3.632132299217e-004  
  9.574785175323e-004  3.378486409929e+000  -4.527874208559e-004  
  9.578691425323e-004  3.378861488218e+000  -4.745324631410e-004  
